Fila numero 1:    321 |123  |4001536 

Fila numero 2:    0 |2  |1 

Fila numero 3:    0 |3  |2 

Fila numero 4:    0 |4  |3 

Fila numero 5:    0 |5  |4 

Fila numero 6:    0 |6  |5 

Fila numero 7:    0 |7  |6 

Fila numero 8:    0 |8  |7 

Fila numero 9:    0 |9  |8 

Fila numero 10:    0 |10  |9 

Fila numero 11:    0 |11  |10 

Fila numero 12:    0 |12  |11 

Fila numero 13:    0 |13  |12 

Fila numero 14:    0 |14  |13 

Fila numero 15:    0 |15  |14 

Fila numero 16:    0 |16  |15 

Fila numero 17:    0 |17  |16 

Fila numero 18:    0 |18  |17 

Fila numero 19:    0 |19  |18 

Fila numero 20:    0 |20  |19 

Fila numero 21:    0 |21  |20 

Fila numero 22:    0 |22  |21 

Fila numero 23:    0 |23  |22 

Fila numero 24:    0 |24  |23 

Fila numero 25:    1 |1  |24 

Fila numero 26:    1 |2  |25 

